yeast,mean,std,sem,count,mean_scaled,sem_scaled
Clavispora_P2_GCA_009498075.1,0.00040624198625861476,0.0005865547224037081,0.00017685290302037893,11,4.062419862586148e-07,1.7685290302037892e-07
Aspergillus_IBT_18842_GCA_009193465.1,0.00029830102848258776,0.0007085111789959311,0.00021362415822743976,11,2.9830102848258775e-07,2.1362415822743978e-07
Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.00029600904553325476,0.00036222168173386015,0.00010921394629479494,11,2.9600904553325477e-07,1.0921394629479495e-07
Clavispora_P4_GCA_009498135.1,0.00028574112624799226,0.0003880601564031926,0.00011700453953418386,11,2.8574112624799227e-07,1.1700453953418386e-07
Debaryomyces_CBS_789_GCF_001447935.1,0.0002698375410142367,0.00046525701908923937,0.0001402802693998388,11,2.6983754101423673e-07,1.4028026939983879e-07
Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.000264497064219329,0.0004553633779228431,0.00013729722434898875,11,2.6449706421932903e-07,1.3729722434898875e-07
Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0002597321553358482,0.00033894041105683406,0.00010219437906948594,11,2.597321553358482e-07,1.0219437906948594e-07
Clavispora_P5_GCA_009498115.1,0.0002588668750673874,0.0004089463886307622,0.0001233019754962818,11,2.588668750673874e-07,1.2330197549628178e-07
Rhizopus_ra_99_880_gca_000149305.RO3,0.00025455852649993783,0.0003619382921555822,0.00010912850112200902,11,2.545585264999378e-07,1.0912850112200902e-07
Aspergillus_CBS_101889_GCA_003184865.1,0.0002533735795282601,0.000465120759544981,0.0001402391856014379,11,2.533735795282601e-07,1.4023918560143791e-07
