day,flux,compartment,metabolite
7,0.00561978430347055,Caecum,Isovalerate
14,0.00643119619731554,Caecum,Isovalerate
21,0.00432618681919426,Caecum,Isovalerate
42,0.0109244423742273,Caecum,Isovalerate
1,-8.392646577704E-10,Caecum,Acetate
7,0.01243793293472,Caecum,Acetate
14,0.0143621173119968,Caecum,Acetate
21,0.0117202972927934,Caecum,Acetate
42,0.0146326706569404,Caecum,Acetate
7,0.00845006272859195,Ileum,Acetate
14,0.00983304141787755,Ileum,Acetate
21,0.00929585903598973,Ileum,Acetate
42,0.00598244874669796,Ileum,Acetate
7,0.00754953303112416,Duodenum,Acetate
14,0.017814805422983,Duodenum,Acetate
21,0.0101694081013832,Duodenum,Acetate
42,0.0104921465565846,Duodenum,Acetate
7,0.0086847625567934,Jejunum,Acetate
14,0.00958513426456165,Jejunum,Acetate
21,0.0102256858647095,Jejunum,Acetate
42,0.00854911812703185,Jejunum,Acetate
7,0.00520107814043769,Caecum,Butyrate
14,0.00629875754589193,Caecum,Butyrate
21,0.00327377345296398,Caecum,Butyrate
42,0.00550104572009502,Caecum,Butyrate
7,0.00378008079256487,Duodenum,Butyrate
14,0.00600648567292694,Duodenum,Butyrate
21,0.00503276876445979,Duodenum,Butyrate
42,0.00531395415111886,Duodenum,Butyrate
7,0.00426070285837177,Jejunum,Butyrate
14,0.00499538882281603,Jejunum,Butyrate
21,0.00507548505778083,Jejunum,Butyrate
42,0.00473566787542715,Jejunum,Butyrate
7,0.00722311367536872,Caecum,Isobutyrate
14,0.00845654983750225,Caecum,Isobutyrate
21,0.00676163367054112,Caecum,Isobutyrate
42,0.0190155802144755,Caecum,Isobutyrate
1,1.50922848662916E-08,Caecum,Propionate
7,0.00791879499365801,Caecum,Propionate
14,0.0134432487550057,Caecum,Propionate
21,0.0346304988687157,Caecum,Propionate
42,0.136595286783102,Caecum,Propionate
7,0.0155258780123434,Ileum,Propionate
14,0.00620266353625709,Ileum,Propionate
21,0.00716755367844316,Ileum,Propionate
42,0.0323278654281512,Ileum,Propionate
7,0.00547541181606448,Duodenum,Propionate
14,0.0082477622194812,Duodenum,Propionate
21,0.0067921715308561,Duodenum,Propionate
42,0.00642519843833547,Duodenum,Propionate
7,0.00860805776014773,Jejunum,Propionate
14,0.00640467160189084,Jejunum,Propionate
21,0.0112249570850333,Jejunum,Propionate
42,0.0713796996542118,Jejunum,Propionate
