day,flux,compartment,metabolite
21,0.00331783913138898,Caecum,Butyrate
14,0.00279896568685294,Caecum,Butyrate
42,0.00435568518229741,Caecum,Butyrate
7,0.0029936353270937,Caecum,Butyrate
14,0.00460982386473855,Duodenum,Butyrate
21,0.00345956455352279,Duodenum,Butyrate
7,0.00360721422204525,Duodenum,Butyrate
42,0.00322936479267371,Duodenum,Butyrate
14,0.00393749504803792,Jejunum,Butyrate
21,0.00442357793886181,Jejunum,Butyrate
42,0.00420770603533795,Jejunum,Butyrate
7,0.00333042535318087,Jejunum,Butyrate
21,0.00685759310069799,Caecum,Isobutyrate
14,0.00416931700881382,Caecum,Isobutyrate
42,0.0148430046024419,Caecum,Isobutyrate
7,0.00414087535415753,Caecum,Isobutyrate
21,0.00449301982317552,Caecum,Isovalerate
14,0.00223622955773139,Caecum,Isovalerate
42,0.00784541276355991,Caecum,Isovalerate
7,0.00224159662844488,Caecum,Isovalerate
21,0.0112675494357669,Caecum,Acetate
14,0.00780048610526677,Caecum,Acetate
42,0.0108573664776584,Caecum,Acetate
7,0.00761560516702602,Caecum,Acetate
14,0.0100126394269427,Duodenum,Acetate
21,0.00826505745513757,Duodenum,Acetate
7,0.00713467704569971,Duodenum,Acetate
42,0.00629320066706841,Duodenum,Acetate
14,0.01401445795283,Ileum,Acetate
42,0.00533681935637059,Ileum,Acetate
21,0.00963965371848694,Ileum,Acetate
7,0.00702786655129025,Ileum,Acetate
14,0.00774600299748861,Jejunum,Acetate
21,0.0092495586492219,Jejunum,Acetate
42,0.00772525816114914,Jejunum,Acetate
7,0.00660781189917839,Jejunum,Acetate
21,0.0340592575794189,Caecum,Propionate
14,0.00703368976271542,Caecum,Propionate
42,0.109458551413298,Caecum,Propionate
7,0.00451311153138454,Caecum,Propionate
14,0.00635768698587584,Duodenum,Propionate
21,0.00529327488120365,Duodenum,Propionate
7,0.00479230155321129,Duodenum,Propionate
42,0.00484589964250427,Duodenum,Propionate
14,0.00663023272211221,Ileum,Propionate
42,0.0303041424686885,Ileum,Propionate
21,0.00750029982308175,Ileum,Propionate
7,0.0144916193814041,Ileum,Propionate
14,0.00520648078653711,Jejunum,Propionate
21,0.00775750650828207,Jejunum,Propionate
42,0.0635716167738538,Jejunum,Propionate
7,0.00461502077583615,Jejunum,Propionate
