day,flux,compartment,metabolite
21,0.0032739426920607,Caecum,Butyrate
14,0.0062987317254341,Caecum,Butyrate
42,0.0055011405290346,Caecum,Butyrate
7,0.0052010552147798,Caecum,Butyrate
14,0.0060065909885194,Duodenum,Butyrate
21,0.0050327683481902,Duodenum,Butyrate
42,0.0053140142111091,Duodenum,Butyrate
7,0.0037800808289055,Duodenum,Butyrate
14,0.0049953887811666,Jejunum,Butyrate
21,0.0050754850519321,Jejunum,Butyrate
42,0.0047356678758306,Jejunum,Butyrate
7,0.0042607028703107,Jejunum,Butyrate
21,0.0067616336705411,Caecum,Isobutyrate
14,0.0084565498375022,Caecum,Isobutyrate
42,0.0190155802144755,Caecum,Isobutyrate
7,0.0072231136753687,Caecum,Isobutyrate
21,0.0043261868191942,Caecum,Isovalerate
14,0.0064311961973155,Caecum,Isovalerate
42,0.0109244423742272,Caecum,Isovalerate
7,0.0056197843034705,Caecum,Isovalerate
21,0.0117202356316797,Caecum,Acetate
14,0.0143620383569462,Caecum,Acetate
42,0.0146326706560486,Caecum,Acetate
7,0.0124379692489322,Caecum,Acetate
14,0.0178147034973895,Duodenum,Acetate
21,0.0101694081035339,Duodenum,Acetate
42,0.0104921055040847,Duodenum,Acetate
7,0.0075495330055954,Duodenum,Acetate
14,0.009833041411906,Ileum,Acetate
42,0.0059824487056487,Ileum,Acetate
21,0.009295861068306,Ileum,Acetate
7,0.0084500628299523,Ileum,Acetate
14,0.0095851339066192,Jejunum,Acetate
21,0.0102256858590987,Jejunum,Acetate
42,0.0085491181476425,Jejunum,Acetate
7,0.0086847625769691,Jejunum,Acetate
21,0.0346306396885822,Caecum,Propionate
14,0.0134432491874377,Caecum,Propionate
42,0.136595315288879,Caecum,Propionate
7,0.0079187215544763,Caecum,Propionate
14,0.0082477674102823,Duodenum,Propionate
21,0.0067921715252181,Duodenum,Propionate
42,0.0064251984610846,Duodenum,Propionate
7,0.0054754115456942,Duodenum,Propionate
14,0.006202648151138,Ileum,Propionate
42,0.0323278654279502,Ileum,Propionate
21,0.0071675467175392,Ileum,Propionate
7,0.0155258780459408,Ileum,Propionate
14,0.0064046710604,Jejunum,Propionate
21,0.0112249571497963,Jejunum,Propionate
42,0.0713796996503529,Jejunum,Propionate
7,0.0086080575898419,Jejunum,Propionate
