yeast_file,growth_rate_difference
cleaned_growth_rates_Hanseniaspora_gca_001747045.ASM174704v1_Salmonella.csv,0.00796096512609081
cleaned_growth_rates_Rhodotorula_UCD_Salmonella.csv,0.00805862658346344
cleaned_growth_rates_Saccharomyces_yjm1385_gca_000977415.Sc_YJM1385_v1_Salmonella.csv,0.008086946769472
cleaned_growth_rates_Saccharomyces_yjm683_gca_000976305.Sc_YJM683_v1_Salmonella.csv,0.00854706388180225
cleaned_growth_rates_Saccharomyces_yjm972_gca_000976425.Sc_YJM972_v1_Salmonella.csv,0.00863454616490272
cleaned_growth_rates_Saccharomyces_yjm1129_gca_000975705.Sc_YJM1129_v1_Salmonella.csv,0.00918144945715933
cleaned_growth_rates_Saccharomyces_yjm969_gca_000976395.Sc_YJM969_v1_Salmonella.csv,0.00929644052154057
cleaned_growth_rates_Rhodotorula_NBRC10032_GCA_007990605.1_Salmonella.csv,0.00943913755158925
cleaned_growth_rates_Saccharomyces_yjm1355_gca_000977295.Sc_YJM1355_v1_Salmonella.csv,0.00953120680423463
cleaned_growth_rates_Talaromyces_ATCC_10500_GCF_000003125.1_Salmonella.csv,0.00979278497968997
cleaned_growth_rates_Candida_p76067_gca_000784495.Cand_albi_P76067_V1_Salmonella.csv,0.00990045506806254
cleaned_growth_rates_Clavispora_P5_GCA_009498115.1_Salmonella.csv,0.0102777743521842
cleaned_growth_rates_Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1_Salmonella.csv,0.0103286432094626
cleaned_growth_rates_Saccharomyces_yjm1450_gca_000977985.Sc_YJM1450_v1_Salmonella.csv,0.0105069488743529
cleaned_growth_rates_Penicillium_fm_013_gca_000513335.PCAMFM013_20131106_Salmonella.csv,0.0107482073644131
cleaned_growth_rates_Rhodotorula_gca_001255795.IFO0880_HGAP3_v1_Salmonella.csv,0.0110189674434204
cleaned_growth_rates_Wickerhamomyces_Salmonella.csv,0.0111773323456553
cleaned_growth_rates_Saccharomyces_gca_001298625.SEUB3.0_Salmonella.csv,0.011325402936956
cleaned_growth_rates_Aureobasidium_EXF_Salmonella.csv,0.0116051593756906
cleaned_growth_rates_Clavispora_P1_GCA_009498055.1_Salmonella.csv,0.0119777943570698
cleaned_growth_rates_Hyphopichia_nrrl_y_1933_gca_001661395.Hypbu1_Salmonella.csv,0.012206979086312
cleaned_growth_rates_Trichoderma_IBT_40837_GCA_003012105.1_Salmonella.csv,0.0122814147563687
cleaned_growth_rates_Candida_Salmonella.csv,0.0128631831681322
cleaned_growth_rates_Clavispora_P4_GCA_009498135.1_Salmonella.csv,0.0139181519528604
cleaned_growth_rates_Monascus_GCA_006542485.1_Salmonella.csv,0.0150514767043324
cleaned_growth_rates_Kluyveromyces_Salmonella.csv,0.0156592500619884
