metabolite,flux
starch1200,0.0496237659069474
arg_L,0.0167894934275599
his_L,0.0119235981527066
ile_L,0.0192834286985454
leu_L,0.0347200136659304
met_L,0.00621481710103267
trp_L,0.0309628311258278
thr_L,0.0254707928598556
val_L,0.021132875982297
asp_L,0.024921470567261
cys_L,0.0177097728770769
glu_L,0.0480498588433228
gly,0.0299532803916531
pro_L,0.0256368189834384
ser_L,0.045296911066414
ca2,1.6212635361046
tdchola,0.0032
C02528,0.002673
h2o,10
